brand_name,월간 총 검색량,월간 데스크톱 검색량,월간 모바일 검색량,일평균 검색량,블로그최근한달발행량,블로그전체기간발행량,카페최근한달발행량,카페전체기간발행량,VIEW최근한달발행량,VIEW전체기간발행량,어제까지검색량,월말까지검색량,블로그포화지수,카페포화지수,VIEW포화지수,연별 검색량-2016년,연별 검색량-2017년,연별 검색량-2018년,연별 검색량-2019년,연별 검색량-2020년,연별 검색량-2021년,연별 검색량-2022년,월별 검색비율-1월,월별 검색비율-2월,월별 검색비율-3월,월별 검색비율-4월,월별 검색비율-5월,월별 검색비율-6월,월별 검색비율-7월,월별 검색비율-8월,월별 검색비율-9월,월별 검색비율-10월,월별 검색비율-11월,월별 검색비율-12월,요일비율-월,요일비율-화,요일비율-수,요일비율-목,요일비율-금,요일비율-토,요일비율-일,연령별검색비율 - 10대 ,연령별검색비율 - 20대 ,연령별검색비율 - 30대 ,연령별검색비율 - 40대 ,연령별검색비율 - 50대 이상 ,성별검색비율 - 남성,성별검색비율 - 여성,이슈성,정보성,상업성
오늘은,2750,370,2380,91.66666666666669,1587094,86379747,514994,35694384,2112598,122684502,380,2890.0,57712.50909090909,18727.054545454543,76821.74545454545,52800,30600,27900,23200,27300,35200,39000,11.41550907360398,9.759641374448275,8.427290612883047,8.130117731000244,8.270115901,7.724673321621271,7.925321668475463,7.944730393312821,7.314903390862058,7.477773947005163,8.182027142556441,7.427895443485427,14.757211023026006,15.225656595104434,14.637478958081788,14.66645688,14.8341691,13.060615454674736,12.818411980306324,4.61,21.05,26.12,32.27,15.94,32.19,67.81,4.594127807,81.3219472,18.678052800000003
하루,27360,3560,23800,912.0,1169251,78529208,853144,80151491,2032507,159474102,3280,23280.0,4273.578216374269,3118.216374269006,7428.753654970759,456100,3179700,676100,879900,505600,402000,443100,5.713745077732516,5.555091915474277,7.246166654990353,4.655712976,5.632484824316878,33.973308619715205,10.137623547062825,7.418332449783367,5.437884474,5.0242966467462775,4.804334748,4.401018066030241,9.977259135,9.491460026322892,10.89722471105317,25.28743046838237,12.154838841226052,17.619302765649046,14.572484052374948,8.23,22.1,21.31,27.93,20.42,37.36,62.64,12.36614853195164,76.1496801,23.8503199
고기로,1070,150,920,35.666666666666664,895938,35842154,108260,9570926,1009219,45640145,170,1500.0,83732.52336448598,10117.757009345794,94319.53271028036,270,550,1220,1730,4020,5300,8970,6.327765827,7.301194810919943,11.120653592081412,8.121657573095895,8.489581445759605,8.447705417,8.135615644196777,8.500392612567515,9.462127909075164,9.961200987224322,8.002186236700755,6.129917944240896,14.410254028010543,13.594949223260564,15.192563429388246,13.013779048036394,14.166596939594776,14.46711396439282,15.15474336731665,4.6,22.78,31.43,29.07,12.12,45.68,54.32,1.4517029592406476,36.88109667,63.11890333
커피는,240,40,200,8.0,678929,38644959,272329,15918207,956014,54835982,40,310.0,282887.0833333333,113470.41666666669,398339.1666666667,140,120,140,600,340,650,1720,8.047313227,8.159364574072777,8.11577976,7.376341904005485,7.505057660965067,7.999316022016104,9.032720861,9.478121096011296,8.836037549,9.410420340352529,7.838490547199573,8.201036458596063,14.849944664778317,15.105098409725873,13.730401707214032,14.371840976321325,13.931886697139351,14.793866858358168,13.216960686462944,3.05,28.93,28.93,26.9,12.18,39.09,60.91,4.38957476,60.6926418,39.3073582
영향,7290,2570,4720,243.0,667691,23988289,161723,9812642,833561,33969936,910,6580.0,9158.998628257888,2218.422496570645,11434.307270233196,83200,79400,84100,75300,95600,94300,104800,6.903765953239126,7.001317097592007,8.994748833539969,9.689766355675925,9.422026693,9.33853342,7.572685611299105,7.485310723978708,8.740416069070934,8.426954871,8.693496175772587,7.730978195697589,15.635835461882683,16.21120056616656,16.49225320085659,16.15301619665558,14.332420547664992,9.977221462123197,11.198052564650398,16.01,29.75,26.25,17.94,10.06,33.51,66.49,0.3454231433506045,81.33389980000001,18.666100199999995
차이,10950,3430,7520,365.0,562577,33787890,331153,21798691,898199,55864514,1420,10530.0,5137.689497716895,3024.228310502283,8202.730593607306,138400,132200,129700,187400,265400,193100,196100,7.6573958358871135,7.435056154141488,8.319756204,8.531951573450977,8.064050687835168,10.589203167817637,7.9934082571987215,7.821449431105138,7.797813781559439,8.573485361731601,8.528548297773128,8.687881247599128,15.195133059743766,15.52557206044342,15.604711623699831,15.673526369400118,14.572115562664104,10.932652529368006,12.496288794680757,10.08,27.09,23.82,23.17,15.84,37.96,62.04,4.525043177892918,44.29450534,55.70549466
모양,3980,1270,2710,132.66666666666666,407948,29640003,117927,11571085,528504,41417143,480,3370.0,10249.949748743718,2962.989949748744,13278.994974874371,57900,50500,49500,42900,43200,45300,48000,8.097313999756448,7.338978300567785,8.859339544900438,9.75786766,9.207891417071638,9.047149158540163,7.390897417574356,7.388502804755426,7.963063799154516,8.193897623598426,9.277548449984732,7.477549824187511,15.771430097286547,16.424372597278534,16.46486373783128,16.004139526726394,14.14068342837198,10.12809166525669,11.066418947248575,13.06,27.68,23.0,22.22,14.04,27.88,72.12,1.5544041450777202,85.755319,14.244681000000002
모두의만족,1400,130,1270,46.66666666666666,305442,12514053,89625,3483568,397042,16077609,230,2000.0,21817.28571428572,6401.785714285714,28360.14285714286,3110,13900,21600,23800,33800,32900,24900,8.362486450361375,8.526648112406473,8.131994523,9.001072965116675,8.247175096171528,8.420602476554862,8.746724894613447,8.705387749,7.442966386486699,7.470888290359325,7.690628987315821,9.253424068941907,11.99965338268158,12.445867357642342,12.514161569170597,12.690553012917874,16.269531576793586,17.934312763844552,16.145920336949477,4.18,18.2,27.7,34.51,15.41,44.26,55.74,2.2091310751104567,68.76610126,31.23389874
소재,18150,6550,11600,605.0,298082,18657113,168243,8134402,468657,26925473,2210,16210.0,1642.3250688705234,926.9586776859504,2582.132231404959,190200,195100,204400,208400,310400,244700,229000,6.867331662472835,6.986589319,8.779229062132988,9.297193701920872,8.703335732791924,12.358114299278837,7.654300826038256,7.389074969531707,8.396013171,8.052542039556275,8.118742577032767,7.397532639170055,15.75848222968504,15.994566656944848,16.03480710750661,15.853827373638367,14.040188520911666,11.606834229612083,10.711293881701396,20.65,31.05,21.72,17.1,9.48,38.06,61.94,0.4145077720207253,45.899129448,54.100870552
월요일,12020,1920,10100,400.6666666666667,290305,15116863,168845,11907009,461446,27158991,2070,14070.0,2415.1830282861897,1404.7004991680533,3838.985024958403,138700,132100,141200,133000,136900,155700,152300,7.961744944156672,8.027820969660091,9.089129917,9.121338630003264,9.089129930224171,8.442280041507082,8.128272127565882,7.956424550072823,8.094733365891814,8.309873929753582,8.212017714,7.567233880535736,38.23554024757298,9.099231590488923,7.848266911736817,8.276233536,10.354865227181966,9.943677401933186,16.242185085140235,11.84,25.75,21.72,18.97,21.72,43.68,56.32,14.61139896373057,95.22802418,4.771975822000007
