brand_name,score,area_code
녁,51,3130031
맛쟁이떡볶이,38,3111006
찐하오 마라탕,15,3130292
0910멸치집,49,3120229
1's 카츠곳간,38,3110718
1's 카츠곳간,15,3110142
101번지 남산돈까스,56,3110041
101번지 남산돈까스,42,3110725
101번지 남산돈까스,42,3120008
101번지 남산돈까스,40,3120243
101번지 남산돈까스,39,3120128
101번지 남산돈까스,39,3120006
101번지 남산돈까스,39,3120167
101번지 남산돈까스,37,3120236
101번지 남산돈까스,33,3120089
101번지 남산돈까스,33,3110655
153구포국수,32,3130167
153구포국수,31,3130290
153구포국수,15,3120156
153구포국수,15,3120121
153도씨,36,3120118
17도씨,60,3110562
1927김계월짜글이,36,3120189
1943,42,3120072
1943,40,3130318
1943,15,3120130
1943,15,3120053
1943,15,3120081
1954무한등심,40,3120227
1984 그수육집칼국수,41,3111062
1987 루프탑라운지,39,3120229
1987 신샤브,35,3120006
1989마라탕,38,3110369
1989역전꼬마김밥,15,3110719
1990 아구찜,15,3130318
1990 아구찜,15,3110256
1인자감자탕,31,3130231
1키로탕수육,15,3120179
201호,40,3110126
20회수산,37,3110966
24시무인 셀프카페,15,3130220
24시무인 셀프카페,15,3110851
24시무인 셀프카페,15,3110058
25년 장인아구찜,15,3110073
25카츠,40,3130196
25카츠,37,3120149
25카츠,36,3120101
30년 불멸의닭발,31,3110795
30년 불멸의닭발,15,3110582
30년 불멸의닭발,15,3110404
30년 불멸의닭발,15,3110888
30년 불멸의닭발,15,3110856
30년 불멸의닭발,15,3110207
33떡볶이,38,3130311
33떡볶이,38,3110179
33떡볶이,35,3130326
33떡볶이,31,3130225
33떡볶이,31,3120226
33떡볶이,31,3110306
33떡볶이,15,3111028
33떡볶이,15,3111085
33떡볶이,15,3120230
38도씨식당,41,3120105
3일국밥,42,3111026
3일국밥,34,3120236
3일한우국밥,76,3130250
3일한우국밥,49,3130189
3일한우국밥,35,3110966
3일한우국밥,32,3110758
428레스토랑,54,3120207
56ST,15,3120072
56ST,15,3120074
60계,46,3110106
60계,41,3120244
60계,38,3120076
60계,34,3130266
60계,34,3110962
60계,33,3130318
60계,31,3130310
60계,31,3120061
60계,31,3120220
60계,31,3110319
60계,31,3110423
60계,15,3110733
60계,15,3110999
60계,15,3110216
60계,15,3110154
60계,15,3120176
60계,15,3110936
60계치킨,50,3120143
60계치킨,47,3110605
60계치킨,46,3120187
60계치킨,41,3130323
60계치킨,39,3110507
60계치킨,38,3110641
60계치킨,38,3110647
60계치킨,36,3110129
60계치킨,36,3130166
60계치킨,36,3110275
60계치킨,35,3120229
60계치킨,35,3120160
60계치킨,34,3110435
60계치킨,34,3110267
60계치킨,33,3120118
60계치킨,33,3130069
60계치킨,32,3110758
60계치킨,32,3120241
60계치킨,31,3110425
60계치킨,31,3110085
60계치킨,15,3120133
60계치킨,15,3130124
60계치킨,15,3120067
60계치킨,15,3111027
60계치킨,15,3110943
60계치킨,15,3110687
60계치킨,15,3110838
60계치킨,15,3110192
60계치킨,15,3110258
60계치킨,15,3120113
60계치킨,15,3120106
60계치킨,15,3110798
60계치킨,15,3110725
60계치킨,15,3130147
60계치킨,15,3110441
60계치킨,15,3130117
60계치킨,15,3130049
60계치킨,15,3110108
60계치킨,15,3110205
60계치킨,15,3120152
60계치킨,15,3110891
60계치킨,15,3130179
60초피자,38,3110023
777카페,15,3110895
798화로,38,3130191
79대포,42,3111014
79대포,15,3130262
79대포,15,3130235
79대포,15,3110835
79파운야드,49,3110559
79파운야드,49,3110544
79파운야드,45,3110788
79파운야드,44,3110723
79파운야드,42,3120031
79파운야드,37,3110928
79파운야드,36,3120114
79파운야드,15,3120147
79파운야드,15,3120225
79파운야드,15,3120230
7번가피자,48,3111067
7번가피자,41,3110363
7번가피자,40,3110422
7번가피자,38,3130173
7번가피자,37,3110890
7번가피자,36,3111066
7번가피자,36,3120121
7번가피자,33,3111006
7번가피자,32,3110172
7번가피자,31,3110566
7번가피자,31,3110721
7번가피자,31,3110783
7번가피자,31,3110228
7번가피자,15,3110929
7번가피자,15,3130069
7번가피자,15,3110945
